QID,filmfreeway
Q3219700,LUFF
Q6823679,TheMethodFestIndependentFilmFestival
Q7129468,ThePanAfricanFilmFestival
Q7306875,ReelShorts
Q7562182,SonomaInternationalFilmFestival
Q125585301,SPOT
Q7589644,StLouisInternationalFilmFestival
Q10281970,Fantaspoa
Q125607503,fmfs
Q15139060,PolishFilmFestivalSeattle
Q125609407,FIIN
Q125605509,MICRO21
Q16567482,SEFF
Q125583265,OneScreen
Q17434162,ChineseAmericanFilmFestival
Q17512749,BurbankInternationalFilmFestival
Q17509658,Cine-Excess
Q18148762,HillCountryFilmFestival
Q125712135,asff
Q125601381,SF3
Q125624701,silverscreen
Q125611701,tci
Q24190585,BufferFestival
Q24905105,siffcy
Q27981131,slashFilmfestival
Q125605373,fantaelx
Q125607827,DITO
Q125609725,TRAFF
Q48740773,WildlifeConservationFilmFestival
Q125610770,mira
Q60789566,RainbowVisionsFF
Q125625264,Vancouver
Q73806771,VictorLaGranIncognita
Q85990937,KRINGFILM
Q125714091,Wheaton
Q125619522,SENE
Q97359901,ocanfilmfest
Q29639303,Superfest
Q109345363,LasVegasInternationalFilmandScreenwritingContest
Q125606703,HMFF
Q125611361,IHFF
Q125601421,LIFFE
Q125619781,ICS
Q115566725,KateDee
Q125605721,Aruba
Q125611434,Kanchenjunga
Q125609513,koka
Q125606948,pickering
Q458826,OldenburgInternationalFilmFestival
Q482633,biff
Q125601369,ndiff
Q125601681,CFMA
Q125611614,Samskara
Q125709070,EMAP
Q125609684,spektrum
Q2633636,AcademiaFilmOlomouc
Q125601633,BISF
Q2972063,FestivalCheriesCheris
Q125619662,NFTV
Q3066295,FantasiaFilmFestival
Q3744007,Cinemambiente
Q3746220,FiuggiFilmFestival17
Q3802410,IschiaFilmFestival
Q4744096,AIFF
Q4791328,ArizonaInternationalFilmFestival
Q4860279,BareBonesFilmFestival
Q4947941,BostonInternationalFilmFestival
Q5171974,CornwallFilmFestival
Q5339068,EdmontonInternationalFilmFestival
Q5375591,EncountersFestival
Q5975037,ITVFest
Q125606585,Curitiba
Q6388855,KendalMountain
Q6529106,LesGaiCineMadMadridInternationalLGBTIFilmFestival
Q7077668,OdenseInternationalFilmFestival
Q7182720,piffFilms
Q7306845,ReelAffirmations
Q7413592,SanDiegoAsianFilmFestival
Q7593913,StKildaFilmFestival
Q7771940,TheValleyFilmFestival
Q12958396,Merlinka
Q15139018,CouchFestFilms
Q15139024,HarlemInternationalFilmFestival
Q125607733,horror
Q17083073,OaxacaFilmFest
Q18346141,GreenwichInternationalFilmFestival
Q20108102,Choreoscope
Q20715886,DominicanFilmMarket
Q125610576,Fide
Q125612071,FCP
Q27860382,Genrenale
Q28803878,GISFF
Q29639305,BerlinFeministFilmWeek
Q30331817,cpiff
Q125609968,FACC
Q125619695,taff
Q125607030,SDSC
Q125585355,B3F
Q61728911,BetweenTheWalls
Q125619664,CRFF
Q125611243,FemmoFilmFest
Q65553458,LeedsQueerFilmFestival
Q125609874,Biophilia
Q105715296,domenicoonorato
Q108106880,Severalconversation
Q6092698,ICFF
Q69574974,TMFF
Q125605120,UshuaiaSHH
Q125606411,canadian
Q125605836,ESFSA
Q115179482,SulochanaSandakelumDissanayake
Q125607568,sjon
Q385028,AfrikaFilmfestival
Q125712997,Digerati
Q585910,Screamfest
Q585910,ScreamfestHorrorFilmFestival
Q125583835,RIFF
Q1376863,EOFT
Q1408645,dokumentART
Q125605711,alpinale
Q2006040,LISFE
Q2031138,ArchitectureFilmFestivalRotterdam
Q125713579,noisepop
Q125609020,kameo
Q2876748,CineCortoPopayan
Q3126177,HallucinationsCollectives
Q3647639,baff
Q3796550,Imaginaria
Q125609258,Artdocfest
Q4823084,AustinFilmFestival
Q4906367,BigSkyDocumentaryFilmFestival
Q125624182,NYFF
Q5381117,EnvironmentalFilmFestivalInTheNationsCapital
Q5502969,FreshFilmFestival
Q5533003,GenevaFilmFestival
Q5578634,GoldCoastFilmFestival
Q7442041,STIFF
Q7681717,TampaInternationalGayLesbianFilmFestival
Q125607788,ciffglobal
Q125608880,Dili
Q125610987,WIPE
Q16851349,CanadaFilmFestival
Q125610302,WIFFEN
Q125607159,TIFF
Q19891953,InternationalFilmFestivalOfPrayag
Q125605958,MUFF
Q125619515,ShortSweetFilmFest
Q125610274,Tremula
Q7402093,SPIFF
Q28405121,SanFranciscoTransgenderFilmFestival
Q28485515,SDFilmWeek
Q28528754,DTLAFF
Q43369167,tylerjoakley
Q48540368,FrissHus
Q54933593,Kreives
Q125605837,FFFA
Q125611415,jsg
Q125601437,JWFF
Q125713202,GFFF
Q106409771,MatteoCiotola
Q112476126,AlondraMijangos
Q125610353,FIFAC
Q4251583,SQFF
Q125583766,malibu
Q125606170,viennashorts
Q125711363,WOFF
Q1284745,EdinburghInternationalFilmFestival
Q125608345,pge
Q2025420,OpenEyes-FilmfestMarburg
Q125609194,VFS
Q125606480,CIFA
Q3070661,ficfa
Q3269994,Animafest Zagreb
Q4882286,BelfastFilmFestival
Q4903749,BicycleFilmFestival
Q125619572,Comicpalooza
Q5188832,CrossroadsFilmFestival
Q5211352,DallasInternationalFilmFestival
Q5259723,DenverFilmFestival
Q125713139,FirstTake
Q5972817,InThePalaceISFF
Q6475501,TheLakeCountyFilmFestival
Q125583808,Phantoscope
Q125607146,torontoafterdark
Q125583366,WFA
Q10915402,TIEFF
Q15139035,LAShortsFest
Q15942635,ChampsElyseesFilmFestival
Q16034467,massimadi
Q16998115,KansasInternationalFilmFestival
Q17081826,InternationalUraniumFilmFestival
Q125606805,LostEpisodeFest
Q19685409,KISFF
Q19877675,CapitalCityFilmFestival
Q20991140,AthensInternationalFilmFestival
Q21041525,HorrorOnlineArtNavarra
Q27513756,JoseFranciscoRosadoPACAS
Q28184028,PokharaInternationalMountainFilmFestival
Q28227972,IndependentDaysFilmfest
Q28485527,HorribleImaginingsFilmFest
Q114277104,beatamigas_director
Q125612627,galilee
Q125625108,new-york
Q125607329,ITSFF
Q55146,IndieMemphis
Q125712158,IndonesianFilmFestival
Q430897,HIFF
Q466384,tropfest
Q125607802,CAPA
Q125605763,BlueShift
Q125625047,LAFA
Q125713679,PKX
Q125609259,ACA
Q1499249,MotovunFilmFestival
Q3070685,AFF
Q1807073,Molodist
Q2523017,VideoexFestival
Q125607730,Braziers
Q125601292,IrisPrizeFestival
Q125625046,LACA
Q4290913,PacificMeridian
Q4868914,BathFilmFestival
Q4886977,BendFilm
Q4868914,FilmBathFestival
Q5215407,DancesWithFilms
Q5910447,HotSpringsDocumentaryFilmFestival
Q6099842,IvyFilmFestival
Q6736380,MIFF
Q7060038,NorthwestFilmmakersFestival
Q7260105,PuneInternationalFilmFestival-piff
Q7306840,reelworld
Q7413669,SanDiegoFilmFestival
Q7419533,SantaFeIndependentFilmFestival
Q7589617,StLouisFilmmakersShowcase
Q125601501,ofa
Q11966494,EcologicoInternationalFilmFestival
Q15139055,RochesterInternationalFilmFestival
Q125713887,RFKHumanRights
Q125606755,ISSA
Q18479213,FortLauderdaleInternationalFilmFestival
Q22078054,LaCostaFilmFestival
Q22099354,TaiwanInternationalQueerFilmFestival
Q125611004,adafgreece
Q24904875,GlobalIndependentFilmAwards
Q29692624,MonsterFest
Q125612806,wigo
Q2399132,SIFF
Q125601391,SEIFF
Q125543542,PIFF
Q125608192,LIFF
Q125625067,Marin
Q40426100,CIMSueca
