QID,imdb
Q19409,ev0000329
Q42369,ev0000147
Q1044427,ev0000223
Q141108,ev0000747
Q146165,ev0000857
Q149611,ev0000866
Q141108,ev0005371
Q184349,ev0000415
Q223313,ev0000122
Q223740,ev0000230
Q326220,ev0000449
Q383414,ev0001524
Q382780,ev0003008
Q392565,ev0004207
Q453745,ev0000876
Q484963,ev0000106
Q477551,ev0003292
Q687212,ev0000508
Q693797,ev0000865
Q697762,ev0037920
Q824540,ev0000010
Q812332,ev0000086
Q908745,ev0004236
Q910489,ev0005425
Q930680,ev0037688
Q947606,ev0000714
Q1892623,ev0000714
Q1071936,ev0000165
Q31579,ev0000203
Q1141192,ev0000616
Q1189150,ev0000331
Q1187066,ev0038315
Q1191276,ev0000121
Q1204998,ev0000278
Q1242148,ev0000394
Q1296309,ev0005117
Q1340271,ev0001002
Q1636955,ev0000369
Q1374050,ev0000521
Q1359606,ev0000307
Q1393087,ev0000669
Q1538791,ev0000298
Q1529487,ev0000401
Q6667538,ev0000401
Q6667540,ev0000401
Q1615857,ev0000904
Q1659564,ev0001984
Q1862932,ev0000855
Q1857712,ev0005962
Q2155432,ev0000563
Q2415185,ev0000618
Q2402350,ev0001858
Q2452047,ev0000257
Q2842929,ev0000020
Q2973176,ev0000177
Q3043367,ev0000574
Q3070697,ev0000185
Q3070684,ev0000445
Q3070716,ev0000589
Q3070448,ev0000797
Q3070515,ev0000872
Q3070714,ev0001063
Q3070713,ev0001086
Q125624180,ev0001086
Q3102921,ev0001376
Q3070701,ev0001608
Q3062267,ev0003124
Q3634981,ev0002562
Q3775029,ev0001531
Q3932323,ev0004041
Q4193488,ev0006156
Q4331458,ev0002500
Q4540462,ev0015282
Q4766218,ev0000030
Q4806462,ev0004264
Q4884494,ev0002180
Q4985536,ev0000138
Q4985768,ev0003975
Q4974750,ev0014818
Q4971195,ev0035548
Q5056848,ev0001291
Q125624174,ev0001291
Q5019684,ev0001403
Q5013644,ev0001561
Q5095662,ev0000164
Q5095821,ev0000166
Q5315218,ev0004750
Q5434116,ev0000234
Q5434188,ev0001695
Q5401725,ev0002381
Q5449189,ev0016016
Q5700129,ev0000366
Q6037579,ev0004420
Q6129121,ev0000472
Q6413483,ev0007915
Q6691576,ev0003231
Q6851085,ev0002450
Q7014757,ev0001596
Q7026516,ev0001593
Q7054433,ev0004970
Q7445373,ev0000603
Q7413687,ev0001345
Q7414059,ev0001765
Q7442053,ev0004035
Q7836151,ev0002275
Q7909436,ev0000762
Q7914992,ev0009169
Q8033430,ev0000703
Q7984361,ev0000881
Q8068415,ev0005699
Q9137094,ev0000409
Q8961515,ev0000660
Q9356464,ev0019042
Q10281978,ev0000895
Q5860961,ev0000099
Q11783830,ev0000099
Q12957141,ev0005926
Q14944798,ev0001544
Q15139037,ev0001725
Q15139069,ev0003280
Q15361701,ev0029075
Q15728786,ev0001942
Q15947325,ev0000136
Q15963250,ev0011942
Q15983300,ev0013062
Q16621687,ev0003647
Q16960469,ev0000884
Q16996610,ev0002233
Q16967614,ev0005740
Q17109357,ev0002202
Q17635917,ev0005481
Q18157145,ev0004502
Q18151882,ev0004466
Q18351329,ev0025710
Q18610664,ev0003396
Q18681625,ev0000326
Q18642757,ev0003846
Q19866910,ev0004791
Q20104320,ev0005651
Q20649189,ev0002399
Q96619694,ev0002399
Q21427670,ev0004397
Q22079801,ev0003334
Q22907036,ev0004416
Q25423159,ev0001461
Q27882843,ev0038580
Q28173088,ev0004929
Q28173090,ev0036270
Q28373885,ev0003394
Q28402562,ev0003990
Q28503167,ev0036766
Q28428088,ev0001052
Q29561230,ev0003324
Q30694397,ev0028884
Q40659951,ev0000367
Q39053780,ev0005995
Q47508447,ev0004681
Q55597860,ev0004912
Q56400388,ev0001947
Q60746804,ev0006078
Q85782550,ev0003960
Q85788580,ev0005893
Q85757694,ev0012171
Q85775602,ev0015511
Q85796445,ev0004827
Q85799690,ev0021848
Q96401328,ev0016019
Q98106590,ev0005218
Q104876253,ev0005002
Q104150552,ev0005916
Q104901629,ev0003769
Q106282595,ev0022244
Q622423,ev0000588
Q110529729,ev0005280
Q109535893,ev0003035
Q111539373,ev0000671
Q489672,ev0004407
Q7191,ev0002882
Q72769,ev0000016
Q71719,ev0000693
Q105584,ev0022673
Q135498,ev0000274
Q207599,ev0004793
Q207601,ev0005158
Q430897,ev0000315
Q466384,ev0000730
Q483826,ev0001111
Q661904,ev0001135
Q915280,ev0000907
Q949173,ev0000419
Q1028867,ev0005446
Q1060743,ev0000237
Q1071907,ev0000163
Q1256084,ev0001590
Q1305501,ev0001050
Q1424968,ev0000337
Q1421817,ev0000752
Q1425073,ev0015016
Q1499249,ev0000777
Q1493055,ev0001195
Q1546403,ev0000001
Q1540747,ev0000790
Q1578899,ev0000694
Q1667724,ev0000264
Q1807073,ev0000444
Q2004138,ev0006869
Q2183890,ev0000795
Q2464209,ev0000903
Q2496793,ev0002781
Q2721837,ev0000638
Q2781969,ev0000978
Q2925844,ev0000134
Q2936411,ev0003429
Q3046725,ev0001559
Q3070476,ev0000033
Q3070367,ev0005505
Q3233737,ev0000756
Q3350055,ev0002542
Q3394495,ev0003686
Q3550692,ev0000431
Q3656156,ev0000990
Q3744168,ev0006222
Q3822438,ev0000994
Q3915512,ev0002986
Q4121174,ev0003880
Q4181101,ev0004399
Q4651112,ev0002074
Q4743772,ev0004729
Q4807842,ev0000050
Q4816069,ev0000053
Q4806451,ev0001634
Q4834819,ev0016536
Q4868914,ev0001739
Q5215407,ev0000202
Q5562698,ev0005843
Q5708418,ev0001766
Q5910447,ev0001747
Q6023880,ev0001048
Q6099842,ev0003628
Q975945,ev0000155
Q6492563,ev0000392
Q6515983,ev0000796
Q6492390,ev0000848
Q6736380,ev0003343
Q6733361,ev0015478
Q6792381,ev0001713
Q6873054,ev0002777
Q7230989,ev0001715
Q7260105,ev0003299
Q7413669,ev0000581
Q7413669,ev0000968
Q7419533,ev0001656
Q125625175,ev0001656
Q7672155,ev0007423
Q7928507,ev0005611
Q8038502,ev0000711
Q10873959,ev0001539
Q10854651,ev0012802
Q11722858,ev0000901
Q11722858,ev0004453
Q12601211,ev0010293
Q15081650,ev0000943
Q15139043,ev0000476
Q15139055,ev0000565
Q15139045,ev0001083
Q16184868,ev0004372
Q16596426,ev0006401
Q16621657,ev0015577
Q17075409,ev0001688
Q17011397,ev0004190
Q17010639,ev0030266
Q18150719,ev0001810
Q18160730,ev0001595
Q18763327,ev0001826
Q18869920,ev0002645
Q19864719,ev0001658
Q22099354,ev0010356
Q22906519,ev0032774
Q24885040,ev0002480
Q28050102,ev0004288
Q28402611,ev0028851
Q29096520,ev0005320
Q29692624,ev0003310
Q39060754,ev0012107
Q38250518,ev0003635
Q40426100,ev0004908
Q50096620,ev0005468
Q125734075,ev0001946
Q1411891,ev0002235
Q2300462,ev0002385
Q56370504,ev0012278
Q60527814,ev0020296
Q63224859,ev0025909
Q63484859,ev0001314
Q63847110,ev0009037
Q96376391,ev0012600
Q87830406,ev0000566
Q3459735,ev0001872
Q108865410,ev0000620
Q109313255,ev0004897
Q108392602,ev0005954
Q112133225,ev0000084
Q116047373,ev0005072
Q49024,ev0000681
Q265292,ev0000661
Q290568,ev0005418
Q403569,ev0000529
Q463568,ev0000006
Q463568,ev0000831
Q594504,ev0001546
Q621422,ev0002496
Q647768,ev0000503
Q679325,ev0002347
Q740089,ev0000396
Q833154,ev0000219
Q910360,ev0000288
Q909176,ev0009300
Q923408,ev0000272
Q924209,ev0000399
Q935127,ev0000871
Q1011547,ev0000292
Q1070889,ev0000642
Q1101743,ev0003966
Q1127473,ev0000390
Q1262315,ev0000554
Q1262315,ev0000555
Q1381877,ev0000231
Q1371522,ev0005671
Q1408552,ev0000305
Q1395889,ev0012239
Q1627632,ev0004956
Q1685299,ev0000548
Q1667716,ev0001054
Q1662330,ev0001588
Q1899850,ev0006023
Q2005904,ev0000678
Q2134501,ev0029504
Q2330747,ev0001015
Q2409547,ev0000374
Q2972774,ev0004717
Q2997393,ev0000189
Q37049,ev0000245
Q3070755,ev0000310
